STATE,PROVINCE,CITY/MUNICIPALITY,BARANGAY,ZIP CODE,REMARK
Metro Manila,Metro Manila,Binondo,Barangay 287,1006,SA
Metro Manila,Metro Manila,Binondo,Barangay 288,1006,SA
Metro Manila,Metro Manila,Binondo,Barangay 289,1006,SA
Metro Manila,Metro Manila,Binondo,Barangay 290,1006,SA
Metro Manila,Metro Manila,Binondo,Barangay 291,1006,SA
Metro Manila,Metro Manila,Binondo,Barangay 292,1006,SA
Metro Manila,Metro Manila,Binondo,Barangay 293,1006,SA
Metro Manila,Metro Manila,Binondo,Barangay 294,1006,SA
Metro Manila,Metro Manila,Binondo,Barangay 295,1006,SA
Metro Manila,Metro Manila,Binondo,Barangay 296,1006,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 100,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 101,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 102,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 103,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 104,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 105,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 106,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 107,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 108,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 109,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 11,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 110,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 111,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 112,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 113,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 114,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 115,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 116,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 117,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 118,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 119,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 12,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 120,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 121,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 122,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 123,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 124,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 125,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 126,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 127,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 128,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 129,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 13,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 130,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 131,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 132,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 133,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 134,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 135,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 136,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 137,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 138,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 139,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 14,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 140,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 141,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 142,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 143,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 144,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 145,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 146,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 147,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 148,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 149,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 15,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 150,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 151,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 152,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 153,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 154,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 155,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 156,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 157,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 158,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 159,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 16,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 160,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 161,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 162,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 163,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 164,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 165,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 167,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 169,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 17,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 171,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 172,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 173,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 174,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 175,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 176,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 177,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 178,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 179,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 18,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 180,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 181,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 182,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 183,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 184,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 185,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 186,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 187,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 188,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 19,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 2,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 25,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 26,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 27,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 28,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 29,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 3,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 30,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 31,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 32,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 33,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 34,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 35,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 36,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 37,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 38,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 39,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 4,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 40,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 41,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 42,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 43,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 44,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 45,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 46,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 47,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 48,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 49,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 5,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 50,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 51,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 52,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 53,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 54,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 55,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 56,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 57,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 58,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 59,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 6,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 60,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 61,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 62,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 63,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 64,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 65,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 66,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 67,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 68,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 69,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 7,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 70,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 71,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 72,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 73,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 74,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 75,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 76,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 77,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 78,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 79,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 8,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 80,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 81,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 82,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 83,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 84,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 85,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 86,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 87,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 88,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 89,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 9,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 90,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 91,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 92,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 93,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 94,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 95,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 96,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 97,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 98,1400,SA
Metro Manila,Metro Manila,Caloocan City,Barangay 99,1400,SA
Metro Manila,Metro Manila,Ermita,Barangay 659,1045,SA
Metro Manila,Metro Manila,Ermita,Barangay 659-A,1045,SA
Metro Manila,Metro Manila,Ermita,Barangay 660,1045,SA
Metro Manila,Metro Manila,Ermita,Barangay 660-A,1045,SA
Metro Manila,Metro Manila,Ermita,Barangay 661,1045,SA
Metro Manila,Metro Manila,Ermita,Barangay 663,1045,SA
Metro Manila,Metro Manila,Ermita,Barangay 663-A,1045,SA
Metro Manila,Metro Manila,Ermita,Barangay 664,1045,SA
Metro Manila,Metro Manila,Ermita,Barangay 666,1045,SA
Metro Manila,Metro Manila,Ermita,Barangay 667,1045,SA
Metro Manila,Metro Manila,Ermita,Barangay 668,1045,SA
Metro Manila,Metro Manila,Ermita,Barangay 669,1045,SA
Metro Manila,Metro Manila,Ermita,Barangay 670,1045,SA
Metro Manila,Metro Manila,Intramuros,Barangay 654,1002,SA
Metro Manila,Metro Manila,Intramuros,Barangay 655,1002,SA
Metro Manila,Metro Manila,Intramuros,Barangay 656,1002,SA
Metro Manila,Metro Manila,Intramuros,Barangay 657,1002,SA
Metro Manila,Metro Manila,Intramuros,Barangay 658,1002,SA
Metro Manila,Metro Manila,Las Pinas City,Almanza Dos,1750,SA
Metro Manila,Metro Manila,Las Pinas City,Almanza Uno,1750,SA
Metro Manila,Metro Manila,Las Pinas City,B. F. International Village,1740,SA
Metro Manila,Metro Manila,Las Pinas City,Daniel Fajardo,1740,SA
Metro Manila,Metro Manila,Las Pinas City,Elias Aldana,1740,SA
Metro Manila,Metro Manila,Las Pinas City,Ilaya,1740,SA
Metro Manila,Metro Manila,Las Pinas City,Manuyo Dos,1744,SA
