STATE,PROVINCE,CITY/MUNICIPALITY,BARANGAY,ZIP CODE,REMARK
North Luzon,Bataan,Abucay,Capitangan,2114,SA
North Luzon,Bataan,Abucay,Gabon,2114,SA
North Luzon,Bataan,Abucay,Laon (Pob.),2114,SA
North Luzon,Bataan,Abucay,Mabatang,2114,SA
North Luzon,Bataan,Abucay,Omboy,2114,SA
North Luzon,Bataan,Abucay,Salian,2114,SA
North Luzon,Bataan,Abucay,Wawa (Pob.),2114,SA
North Luzon,Bataan,Balanga City,Bagong Silang,2100,SA
North Luzon,Bataan,Balanga City,Bagumbayan,2100,SA
North Luzon,Bataan,Balanga City,Cabog-Cabog,2100,SA
North Luzon,Bataan,Balanga City,Camacho,2100,SA
North Luzon,Bataan,Balanga City,Cataning,2100,SA
North Luzon,Bataan,Balanga City,Central,2100,SA
North Luzon,Bataan,Balanga City,Cupang North,2100,SA
North Luzon,Bataan,Balanga City,Cupang Proper,2100,SA
North Luzon,Bataan,Balanga City,Cupang West,2100,SA
North Luzon,Bataan,Balanga City,Dangcol (Bernabe),2100,SA
North Luzon,Bataan,Balanga City,Dona Francisca,2100,SA
North Luzon,Bataan,Balanga City,Ibayo,2100,SA
North Luzon,Bataan,Balanga City,Lote,2100,SA
North Luzon,Bataan,Balanga City,Malabia,2100,SA
North Luzon,Bataan,Balanga City,Munting Batangas (Cadre),2100,SA
North Luzon,Bataan,Balanga City,Poblacion,2100,SA
North Luzon,Bataan,Balanga City,Pto. Rivas Ibaba,2100,SA
North Luzon,Bataan,Balanga City,Pto. Rivas Itaas,2100,SA
North Luzon,Bataan,Balanga City,San Jose,2100,SA
North Luzon,Bataan,Balanga City,Sibacan,2100,SA
North Luzon,Bataan,Balanga City,Talisay,2100,SA
North Luzon,Bataan,Balanga City,Tanato,2100,SA
North Luzon,Bataan,Balanga City,Tenejero,2100,SA
North Luzon,Bataan,Balanga City,Tortugas,2100,SA
North Luzon,Bataan,Balanga City,Tuyo,2100,SA
North Luzon,Bataan,Orani,Apollo,2112,SA
North Luzon,Bataan,Orani,Bagong Paraiso (Pob.),2112,SA
North Luzon,Bataan,Orani,Balut (Pob.),2112,SA
North Luzon,Bataan,Orani,Bayan (Pob.),2112,SA
North Luzon,Bataan,Orani,Calero (Pob.),2112,SA
North Luzon,Bataan,Orani,Centro I (Pob.),2112,SA
North Luzon,Bataan,Orani,Centro II (Pob.),2112,SA
North Luzon,Bataan,Orani,Dona,2112,SA
North Luzon,Bataan,Orani,Kabalutan,2112,SA
North Luzon,Bataan,Orani,Kaparangan,2112,SA
North Luzon,Bataan,Orani,Maria Fe,2112,SA
North Luzon,Bataan,Orani,Masantol,2112,SA
North Luzon,Bataan,Orani,Mulawin,2112,SA
North Luzon,Bataan,Orani,Pag-Asa,2112,SA
North Luzon,Bataan,Orani,Paking-Carbonero (Pob.),2112,SA
North Luzon,Bataan,Orani,Palihan (Pob.),2112,SA
North Luzon,Bataan,Orani,Pantalan Bago (Pob.),2112,SA
North Luzon,Bataan,Orani,Pantalan Luma (Pob.),2112,SA
North Luzon,Bataan,Orani,Parang Parang (Pob.),2112,SA
