STATE,PROVINCE,CITY/MUNICIPALITY,BARANGAY,ZIP CODE,REMARK
South Luzon,Albay,Bacacay,Barangay 1 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Barangay 10 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Barangay 11 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Barangay 12 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Barangay 13 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Barangay 14 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Barangay 2 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Barangay 3 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Barangay 4 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Barangay 5 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Barangay 6 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Barangay 7 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Barangay 8 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Barangay 9 (Pob.),4509,SA
South Luzon,Albay,Bacacay,Basud,4509,SA
South Luzon,Albay,Bacacay,Bonga (Upper),4509,SA
South Luzon,Albay,Bacacay,Hindi,4509,SA
South Luzon,Albay,Bacacay,Panarayon,4509,SA
South Luzon,Albay,Bacacay,Sogod,4509,SA
South Luzon,Albay,Legazpi City,Bgy. 10 - Cabugao,4500,SA
South Luzon,Albay,Legazpi City,Bgy. 11 - Maoyod Pob. (Bgy. 10 & 11),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 12 - Tula-Tula (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 13 - Ilawod West Pob. (Ilawod 1),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 14 - Ilawod Pob. (Ilawod 2),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 15 - Ilawod East Pob. (Ilawod 3),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 16 - Kawit-East Washington Drive (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 17 - Rizal Sreet.,4500,SA
South Luzon,Albay,Legazpi City,Bgy. 18 - Cabagnan West (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 19 - Cabagnan,4500,SA
South Luzon,Albay,Legazpi City,Bgy. 20 - Cabagnan East (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 21 - Binanuahan West (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 22 - Binanuahan East (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 23 - Imperial Court Subd. (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 24 - Rizal Street,4500,SA
South Luzon,Albay,Legazpi City,Bgy. 25 - Lapu-Lapu (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 26 - Dinagaan (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 27 - Victory Village South (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 28 - Victory Village North (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 32 - San Roque (Bgy. 66),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 33 - Pnr-Penaranda St.- Iraya (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 34 - Oro Site-Magallanes St. (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 35 - Tinago (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 36 - Kapantawan (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 37 - Bitano (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 38 - Gogon (Bgy. 54),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 39 - Bonot (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 4 - Sagpon Pob. (Sagpon 1),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 40 - Cruzada (Bgy. 52),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 41 - Bogtong (Bgy. 45),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 42 - Rawis (Bgy. 65),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 43 - Tamaoyan (Bgy. 67),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 44 - Pawa (Bgy. 61),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 45 - Dita (Bgy. 51),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 46 - San Joaquin (Bgy. 64),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 47 - Arimbay,4500,SA
South Luzon,Albay,Legazpi City,Bgy. 48 - Bagong Abre (Bgy. 42),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 49 - Bigaa (Bgy. 44),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 5 - Sagmin Pob. (Sagpon 2),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 50 - Padang (Bgy. 60),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 51 - Buyuan (Bgy. 49),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 52 - Matanag,4500,SA
South Luzon,Albay,Legazpi City,Bgy. 53 - Bonga (Bgy. 48),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 54 - Mabinit (Bgy. 59),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 55 - Estanza (Bgy. 53),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 56 - Taysan (Bgy. 68),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 57 - Dap-Dap (Bgy. 69),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 58 - Buragwis,4500,SA
South Luzon,Albay,Legazpi City,Bgy. 59 - Puro (Bgy. 63),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 6 - Banadero Pob. (Sagpon 3),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 62 - Homapon (Bgy. 55),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 65 - Imalnod (Bgy. 57),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 7 - Bano (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 7 - Bano (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 8 - Bagumbayan (Pob.),4500,SA
South Luzon,Albay,Legazpi City,Bgy. 9 - Pinaric (Pob.),4500,SA
South Luzon,Albay,Malilipot,Barangay I (Pob.),4510,SA
South Luzon,Albay,Malilipot,Barangay II (Pob.),4510,SA
South Luzon,Albay,Malilipot,Barangay III (Pob.),4510,SA
South Luzon,Albay,Malilipot,Barangay IV (Pob.),4510,SA
South Luzon,Albay,Malilipot,Barangay V (Pob.),4510,SA
South Luzon,Albay,Malilipot,Binitayan,4510,SA
South Luzon,Albay,Malilipot,Salvacion,4510,SA
South Luzon,Albay,Malilipot,San Francisco,4510,SA
South Luzon,Albay,Malilipot,San Jose,4510,SA
South Luzon,Albay,Malilipot,San Roque,4510,SA
South Luzon,Albay,Malilipot,Santa Cruz,4510,SA
South Luzon,Albay,Malilipot,Santa Teresa,4510,SA
South Luzon,Albay,Malinao,Poblacion,4512,SA
South Luzon,Albay,Santo Domingo,Bagong San Roque,4508,SA
South Luzon,Albay,Santo Domingo,Calayucay,4508,SA
South Luzon,Albay,Santo Domingo,Del Rosario Pob. (Bgy. 3),4508,SA
South Luzon,Albay,Santo Domingo,Fidel Surtida,4508,SA
South Luzon,Albay,Santo Domingo,Lidong,4508,SA
South Luzon,Albay,Santo Domingo,Market Site Pob. (Bgy. 9),4508,SA
South Luzon,Albay,Santo Domingo,Nagsiya Pob. (Bgy. 8),4508,SA
South Luzon,Albay,Santo Domingo,Pandayan Pob. (Bgy. 10),4508,SA
South Luzon,Albay,Santo Domingo,San Andres,4508,SA
South Luzon,Albay,Santo Domingo,San Fernando,4508,SA
South Luzon,Albay,Santo Domingo,San Francisco Pob. (Bgy. 1),4508,SA
South Luzon,Albay,Santo Domingo,San Isidro,4508,SA
South Luzon,Albay,Santo Domingo,San Juan Pob. (Bgy. 2),4508,SA
South Luzon,Albay,Santo Domingo,San Pedro Pob. (Bgy. 5),4508,SA
South Luzon,Albay,Santo Domingo,San Rafael Pob. (Bgy. 7),4508,SA
South Luzon,Albay,Santo Domingo,San Roque,4508,SA
South Luzon,Albay,Santo Domingo,San Vicente Pob. (Bgy. 6.),4508,SA
South Luzon,Albay,Santo Domingo,Santa Misericordia,4508,SA
South Luzon,Albay,Santo Domingo,Santo Domingo Pob. (Bgy. 4),4508,SA
South Luzon,Albay,Santo Domingo,Santo Nino,4508,SA
South Luzon,Albay,Tabaco City,Bacolod,4511,SA
South Luzon,Albay,Tabaco City,Bangkilingan,4511,SA
South Luzon,Albay,Tabaco City,Bantayan,4511,SA
South Luzon,Albay,Tabaco City,Baranghawon,4511,SA
South Luzon,Albay,Tabaco City,Basagan,4511,SA
South Luzon,Albay,Tabaco City,Basud (Pob.),4511,SA
South Luzon,Albay,Tabaco City,Bognabong,4511,SA
South Luzon,Albay,Tabaco City,Bombon (Pob.),4511,SA
South Luzon,Albay,Tabaco City,Bonot,4511,SA
South Luzon,Albay,Tabaco City,Cabagnan,4511,SA
South Luzon,Albay,Tabaco City,Cobo,4511,SA
South Luzon,Albay,Tabaco City,Comon,4511,SA
South Luzon,Albay,Tabaco City,Cormidal,4511,SA
South Luzon,Albay,Tabaco City,Divino Rostro (Pob.),4511,SA
South Luzon,Albay,Tabaco City,Fatima,4511,SA
South Luzon,Albay,Tabaco City,Guinobat,4511,SA
South Luzon,Albay,Tabaco City,Matagbac,4511,SA
South Luzon,Albay,Tabaco City,Panal,4511,SA
South Luzon,Albay,Tabaco City,Pawa,4511,SA
South Luzon,Albay,Tabaco City,Quinale Cabasan (Pob.),4511,SA
South Luzon,Albay,Tabaco City,Quinastillojan,4511,SA
South Luzon,Albay,Tabaco City,Salvacion,4511,SA
South Luzon,Albay,Tabaco City,San Antonio,4511,SA
South Luzon,Albay,Tabaco City,San Carlos,4511,SA
South Luzon,Albay,Tabaco City,San Isidro (Boring),4511,SA
South Luzon,Albay,Tabaco City,San Juan (Pob.),4511,SA
South Luzon,Albay,Tabaco City,San Lorenzo,4511,SA
South Luzon,Albay,Tabaco City,San Ramon,4511,SA
South Luzon,Albay,Tabaco City,San Roque,4511,SA
South Luzon,Albay,Tabaco City,San Vicente,4511,SA
South Luzon,Albay,Tabaco City,Santo Cristo (Pob.),4511,SA
South Luzon,Albay,Tabaco City,Tagas,4511,SA
South Luzon,Batangas,Agoncillo,Bagong Sikat,4211,SA
South Luzon,Batangas,Agoncillo,Balangon,4211,SA
South Luzon,Batangas,Agoncillo,Bangin,4211,SA
South Luzon,Batangas,Agoncillo,Banyaga,4211,SA
South Luzon,Batangas,Agoncillo,Barigon,4211,SA
South Luzon,Batangas,Agoncillo,Bilibinwang,4211,SA
South Luzon,Batangas,Agoncillo,Coral Na Munti,4211,SA
South Luzon,Batangas,Agoncillo,Guitna,4211,SA
South Luzon,Batangas,Agoncillo,Mabini,4211,SA
South Luzon,Batangas,Agoncillo,Pamiga,4211,SA
South Luzon,Batangas,Agoncillo,Panhulan,4211,SA
South Luzon,Batangas,Agoncillo,Pansipit,4211,SA
South Luzon,Batangas,Agoncillo,Poblacion,4211,SA
South Luzon,Batangas,Agoncillo,Pook,4211,SA
South Luzon,Batangas,Agoncillo,San Jacinto,4211,SA
South Luzon,Batangas,Agoncillo,San Teodoro,4211,SA
South Luzon,Batangas,Agoncillo,Santa Cruz,4211,SA
South Luzon,Batangas,Agoncillo,Santo Tomas,4211,SA
South Luzon,Batangas,Agoncillo,Subic Ibaba,4211,SA
South Luzon,Batangas,Agoncillo,Subic Ilaya,4211,SA
South Luzon,Batangas,Laurel,As-is,4221,SA
South Luzon,Batangas,Laurel,Balakilong,4221,SA
South Luzon,Batangas,Laurel,Barangay 1 (Pob.),4221,SA
South Luzon,Batangas,Laurel,Barangay 2 (Pob.),4221,SA
South Luzon,Batangas,Laurel,Barangay 3 (Pob.),4221,SA
South Luzon,Batangas,Laurel,Barangay 4 (Pob.),4221,SA
South Luzon,Batangas,Laurel,Barangay 5 (Pob.),4221,SA
South Luzon,Batangas,Laurel,Berinayan,4221,SA
South Luzon,Batangas,Laurel,Bugaan East,4221,SA
South Luzon,Batangas,Laurel,Bugaan West,4221,SA
South Luzon,Batangas,Laurel,Buso-Buso,4221,SA
South Luzon,Batangas,Laurel,Dayap Itaas,4221,SA
South Luzon,Batangas,Laurel,Gulod,4221,SA
South Luzon,Batangas,Laurel,J. Leviste,4221,SA
South Luzon,Batangas,Laurel,Molinete,4221,SA
South Luzon,Batangas,Laurel,Niyugan,4221,SA
South Luzon,Batangas,Laurel,Paliparan,4221,SA
South Luzon,Batangas,Laurel,San Gabriel,4221,SA
South Luzon,Batangas,Laurel,San Gregorio,4221,SA
South Luzon,Batangas,Laurel,Santa Maria,4221,SA
South Luzon,Batangas,Laurel,Ticub,4221,SA
South Luzon,Batangas,Lemery,Anak-Dagat,4209,SA
South Luzon,Batangas,Lemery,Arumahan,4209,SA
South Luzon,Batangas,Lemery,Ayao-iyao,4209,SA
South Luzon,Batangas,Lemery,Bagong Pook,4209,SA
South Luzon,Batangas,Lemery,Bagong Sikat,4209,SA
South Luzon,Batangas,Lemery,Balanga,4209,SA
South Luzon,Batangas,Lemery,Bukal,4209,SA
South Luzon,Batangas,Lemery,Cahilan I,4209,SA
South Luzon,Batangas,Lemery,Cahilan II,4209,SA
South Luzon,Batangas,Lemery,Dayapan,4209,SA
South Luzon,Batangas,Lemery,District I (Pob.),4209,SA
South Luzon,Batangas,Lemery,District II (Pob.),4209,SA
South Luzon,Batangas,Lemery,District III (Pob.),4209,SA
South Luzon,Batangas,Lemery,District IV (Pob.),4209,SA
South Luzon,Batangas,Lemery,Dita,4209,SA
South Luzon,Batangas,Lemery,Gulod,4209,SA
South Luzon,Batangas,Lemery,Lucky,4209,SA
South Luzon,Batangas,Lemery,Maguihan,4209,SA
South Luzon,Batangas,Lemery,Mahabang Dahilig,4209,SA
South Luzon,Batangas,Lemery,Mahayahay,4209,SA
South Luzon,Batangas,Lemery,Maigsing Dahilig,4209,SA
South Luzon,Batangas,Lemery,Maligaya,4209,SA
South Luzon,Batangas,Lemery,Malinis,4209,SA
South Luzon,Batangas,Lemery,Masalisi,4209,SA
South Luzon,Batangas,Lemery,Mataas Na Bayan,4209,SA
South Luzon,Batangas,Lemery,Matingain I,4209,SA
South Luzon,Batangas,Lemery,Matingain II,4209,SA
South Luzon,Batangas,Lemery,Mayasang,4209,SA
South Luzon,Batangas,Lemery,Niugan,4209,SA
South Luzon,Batangas,Lemery,Nonong Casto,4209,SA
South Luzon,Batangas,Lemery,Palanas,4209,SA
South Luzon,Batangas,Lemery,Payapa Ibaba,4209,SA
South Luzon,Batangas,Lemery,Payapa Ilaya,4209,SA
South Luzon,Batangas,Lemery,Rizal,4209,SA
South Luzon,Batangas,Lemery,Sambal Ibaba,4209,SA
South Luzon,Batangas,Lemery,Sambal Ilaya,4209,SA
South Luzon,Batangas,Lemery,San Isidro Ibaba,4209,SA
South Luzon,Batangas,Lemery,San Isidro Itaas,4209,SA
South Luzon,Batangas,Lemery,Sangalang,4209,SA
South Luzon,Batangas,Lemery,Sinisian East,4209,SA
South Luzon,Batangas,Lemery,Sinisian West,4209,SA
South Luzon,Batangas,Lemery,Talaga,4209,SA
South Luzon,Batangas,Lemery,Tubigan,4209,SA
South Luzon,Batangas,Lemery,Tubuan,4209,SA
South Luzon,Batangas,Lemery,Wawa Ibaba,4209,SA
South Luzon,Batangas,Lemery,Wawa Ilaya,4209,SA
South Luzon,Batangas,Lipa City,Adya,4217,SA
South Luzon,Batangas,Lipa City,Anilao,4217,SA
South Luzon,Batangas,Lipa City,Anilao-Labac,4217,SA
South Luzon,Batangas,Lipa City,Antipolo Del Norte,4217,SA
South Luzon,Batangas,Lipa City,Antipolo Del Sur,4217,SA
South Luzon,Batangas,Lipa City,Bagong Pook,4217,SA
South Luzon,Batangas,Lipa City,Balintawak,4217,SA
South Luzon,Batangas,Lipa City,Banaybanay,4217,SA
South Luzon,Batangas,Lipa City,Bolbok,4217,SA
South Luzon,Batangas,Lipa City,Bugtong Na Pulo,4217,SA
South Luzon,Batangas,Lipa City,Bulacnin,4217,SA
South Luzon,Batangas,Lipa City,Bulaklakan,4217,SA
South Luzon,Batangas,Lipa City,Calamias,4217,SA
South Luzon,Batangas,Lipa City,Cumba,4217,SA
South Luzon,Batangas,Lipa City,Dagatan,4217,SA
South Luzon,Batangas,Lipa City,Duhatan,4217,SA
South Luzon,Batangas,Lipa City,Halang,4217,SA
South Luzon,Batangas,Lipa City,Inosloban,4217,SA
South Luzon,Batangas,Lipa City,Kayumanggi,4217,SA
South Luzon,Batangas,Lipa City,Latag,4217,SA
South Luzon,Batangas,Lipa City,Lodlod,4217,SA
South Luzon,Batangas,Lipa City,Lumbang,4217,SA
South Luzon,Batangas,Lipa City,Mabini,4217,SA
South Luzon,Batangas,Lipa City,Malagonlong,4217,SA
South Luzon,Batangas,Lipa City,Malitlit,4217,SA
South Luzon,Batangas,Lipa City,Mataas Na Lupa,4217,SA
South Luzon,Batangas,Lipa City,Munting Pulo,4217,SA
South Luzon,Batangas,Lipa City,Pagolingin Bata,4217,SA
South Luzon,Batangas,Lipa City,Pagolingin East,4217,SA
South Luzon,Batangas,Lipa City,Pagolingin West,4217,SA
South Luzon,Batangas,Lipa City,Pangao,4217,SA
South Luzon,Batangas,Lipa City,Pinagkawitan,4217,SA
South Luzon,Batangas,Lipa City,Pinagtongulan,4217,SA
South Luzon,Batangas,Lipa City,Plaridel,4217,SA
South Luzon,Batangas,Lipa City,Poblacion Barangay 1,4217,SA
South Luzon,Batangas,Lipa City,Poblacion Barangay 10,4217,SA
South Luzon,Batangas,Lipa City,Poblacion Barangay 11,4217,SA
South Luzon,Batangas,Lipa City,Poblacion Barangay 12,4217,SA
South Luzon,Batangas,Lipa City,Poblacion Barangay 2,4217,SA
South Luzon,Batangas,Lipa City,Poblacion Barangay 3,4217,SA
South Luzon,Batangas,Lipa City,Poblacion Barangay 4,4217,SA
South Luzon,Batangas,Lipa City,Poblacion Barangay 5,4217,SA
South Luzon,Batangas,Lipa City,Poblacion Barangay 6,4217,SA
South Luzon,Batangas,Lipa City,Poblacion Barangay 7,4217,SA
South Luzon,Batangas,Lipa City,Poblacion Barangay 8,4217,SA
South Luzon,Batangas,Lipa City,Poblacion Barangay 9,4217,SA
South Luzon,Batangas,Lipa City,Poblacion Barangay 9-A,4217,SA
South Luzon,Batangas,Lipa City,Pusil,4217,SA
South Luzon,Batangas,Lipa City,Quezon,4217,SA
South Luzon,Batangas,Lipa City,Rizal,4217,SA
South Luzon,Batangas,Lipa City,Sabang,4217,SA
South Luzon,Batangas,Lipa City,Sampaguita,4217,SA
South Luzon,Batangas,Lipa City,San Benito,4217,SA
South Luzon,Batangas,Lipa City,San Carlos,4217,SA
South Luzon,Batangas,Lipa City,San Guillermo,4217,SA
South Luzon,Batangas,Lipa City,San Jose,4217,SA
South Luzon,Batangas,Lipa City,San Lucas,4217,SA
South Luzon,Batangas,Lipa City,San Salvador,4217,SA
South Luzon,Batangas,Lipa City,San Sebastian (Balagbag),4217,SA
South Luzon,Batangas,Lipa City,Santo Nino,4217,SA
South Luzon,Batangas,Lipa City,Sapac,4217,SA
South Luzon,Batangas,Lipa City,Sico,4217,SA
South Luzon,Batangas,Lipa City,Talisay,4217,SA
South Luzon,Batangas,Lipa City,Tambo,4217,SA
South Luzon,Batangas,Lipa City,Tangob,4217,SA
South Luzon,Batangas,Lipa City,Tanguay,4217,SA
South Luzon,Batangas,Lipa City,Tibig,4217,SA
South Luzon,Batangas,Lipa City,Tipacan,4217,SA
South Luzon,Batangas,Santo Tomas,Barangay I (Pob.),4234,SA
South Luzon,Batangas,Santo Tomas,Barangay II (Pob.),4234,SA
South Luzon,Batangas,Santo Tomas,Barangay III (Pob.),4234,SA
South Luzon,Batangas,Santo Tomas,Barangay IV (Pob.),4234,SA
South Luzon,Batangas,Santo Tomas,San Agustin,2426,SA
South Luzon,Batangas,Santo Tomas,San Antonio,2426,SA
South Luzon,Batangas,Santo Tomas,San Bartolome,2020,SA
South Luzon,Batangas,Santo Tomas,San Felix,4234,SA
South Luzon,Batangas,Santo Tomas,San Fernando,4234,SA
South Luzon,Batangas,Santo Tomas,San Francisco,4234,SA
South Luzon,Batangas,Santo Tomas,San Isidro Norte,4234,SA
South Luzon,Batangas,Santo Tomas,San Isidro Sur,4234,SA
South Luzon,Batangas,Santo Tomas,San Joaquin,4234,SA
