STATE,PROVINCE,CITY/MUNICIPALITY,BARANGAY,ZIP CODE,REMARK
Visayas,Aklan,Kalibo,Andagaw,5600,SA
Visayas,Aklan,Kalibo,Bachaw Norte,5600,SA
Visayas,Aklan,Kalibo,Bachaw Sur,5600,SA
Visayas,Aklan,Kalibo,Briones,5600,SA
Visayas,Aklan,Kalibo,Buswang New,5600,SA
Visayas,Aklan,Kalibo,Buswang Old,5600,SA
Visayas,Aklan,Kalibo,Caano,5600,SA
Visayas,Aklan,Kalibo,Estancia,5600,SA
Visayas,Aklan,Kalibo,Linabuan Norte,5600,SA
Visayas,Aklan,Kalibo,Mabilo,5600,SA
Visayas,Aklan,Kalibo,Mobo,5600,SA
Visayas,Aklan,Kalibo,Nalook,5600,SA
Visayas,Aklan,Kalibo,Poblacion,5600,SA
Visayas,Aklan,Kalibo,Pook,5600,SA
Visayas,Aklan,Kalibo,Tigayon,5600,SA
Visayas,Aklan,Kalibo,Tinigaw,5600,SA
Visayas,Bohol,Tagbilaran City,Bool,6300,SA
Visayas,Bohol,Tagbilaran City,Booy,6300,SA
Visayas,Bohol,Tagbilaran City,Cabawan,6300,SA
Visayas,Bohol,Tagbilaran City,Cogon,6300,SA
Visayas,Bohol,Tagbilaran City,Dampas,6300,SA
Visayas,Bohol,Tagbilaran City,Dao,6300,SA
Visayas,Bohol,Tagbilaran City,Manga,6300,SA
Visayas,Bohol,Tagbilaran City,Mansasa,6300,SA
Visayas,Bohol,Tagbilaran City,Poblacion I,6300,SA
Visayas,Bohol,Tagbilaran City,Poblacion II,6300,SA
Visayas,Bohol,Tagbilaran City,Poblacion III,6300,SA
Visayas,Bohol,Tagbilaran City,San Isidro,6300,SA
Visayas,Bohol,Tagbilaran City,Taloto,6300,SA
Visayas,Bohol,Tagbilaran City,Tiptip,6300,SA
Visayas,Bohol,Tagbilaran City,Ubujan,6300,SA
Visayas,Cebu,Cebu City,Adlaon,6000,SA
Visayas,Cebu,Cebu City,Agsungot,6000,SA
Visayas,Cebu,Cebu City,Apas,6000,SA
Visayas,Cebu,Cebu City,Babag,6000,SA
Visayas,Cebu,Cebu City,Bacayan,6000,SA
Visayas,Cebu,Cebu City,Banilad,6000,SA
Visayas,Cebu,Cebu City,Basak Pardo,6000,SA
Visayas,Cebu,Cebu City,Basak San Nicolas,6000,SA
Visayas,Cebu,Cebu City,Binaliw,6000,SA
Visayas,Cebu,Cebu City,Bonbon,6000,SA
Visayas,Cebu,Cebu City,Budla-an (Pob.),6000,SA
Visayas,Cebu,Cebu City,Buhisan,6000,SA
Visayas,Cebu,Cebu City,Bulacao,6000,SA
Visayas,Cebu,Cebu City,Buot-Taup Pardo,6000,SA
Visayas,Cebu,Cebu City,Busay (Pob.),6000,SA
Visayas,Cebu,Cebu City,Calamba,6000,SA
Visayas,Cebu,Cebu City,Cambinocot,6000,SA
Visayas,Cebu,Cebu City,Camputhaw (Pob.),6000,SA
Visayas,Cebu,Cebu City,Capitol Site (Pob.),6000,SA
Visayas,Cebu,Cebu City,Carreta,6000,SA
Visayas,Cebu,Cebu City,Central (Pob.),6000,SA
Visayas,Cebu,Cebu City,Cogon Pardo,6000,SA
Visayas,Cebu,Cebu City,Cogon Ramos (Pob.),6000,SA
Visayas,Cebu,Cebu City,Day-as,6000,SA
Visayas,Cebu,Cebu City,Duljo (Pob.),6000,SA
Visayas,Cebu,Cebu City,Ermita (Pob.),6000,SA
Visayas,Cebu,Cebu City,Guadalupe,6000,SA
Visayas,Cebu,Cebu City,Guba,6000,SA
Visayas,Cebu,Cebu City,Hippodromo,6000,SA
Visayas,Cebu,Cebu City,Inayawan,6000,SA
Visayas,Cebu,Cebu City,Kalubihan (Pob.),6000,SA
Visayas,Cebu,Cebu City,Kalunasan,6000,SA
Visayas,Cebu,Cebu City,Kamagayan (Pob.),6000,SA
Visayas,Cebu,Cebu City,Kasambagan,6000,SA
Visayas,Cebu,Cebu City,Kinasang-an Pardo,6000,SA
Visayas,Cebu,Cebu City,Labangon,6000,SA
Visayas,Cebu,Cebu City,Lahug (Pob.),6000,SA
Visayas,Cebu,Cebu City,Lorega (Lorega San Miguel),6000,SA
Visayas,Cebu,Cebu City,Lusaran,6000,SA
Visayas,Cebu,Cebu City,Luz,6000,SA
Visayas,Cebu,Cebu City,Mabini,6000,SA
Visayas,Cebu,Cebu City,Mabolo,6000,SA
Visayas,Cebu,Cebu City,Malubog,6000,SA
Visayas,Cebu,Cebu City,Mambaling,6000,SA
Visayas,Cebu,Cebu City,Pahina Central (Pob.),6000,SA
Visayas,Cebu,Cebu City,Pahina San Nicolas,6000,SA
Visayas,Cebu,Cebu City,Pamutan,6000,SA
Visayas,Cebu,Cebu City,Pardo (Pob.),6000,SA
