STATE,PROVINCE,CITY,BARANGAY,ZIP CODE
Metro Manila,NCR,Binondo,Barangay 287,1006
Metro Manila,NCR,Binondo,Barangay 288,1006
Metro Manila,NCR,Binondo,Barangay 289,1006
Metro Manila,NCR,Binondo,Barangay 290,1006
Metro Manila,NCR,Binondo,Barangay 291,1006
Metro Manila,NCR,Binondo,Barangay 292,1006
Metro Manila,NCR,Binondo,Barangay 293,1006
Metro Manila,NCR,Binondo,Barangay 294,1006
Metro Manila,NCR,Binondo,Barangay 295,1006
Metro Manila,NCR,Binondo,Barangay 296,1006
Metro Manila,NCR,Caloocan City,Barangay 100,1400
Metro Manila,NCR,Caloocan City,Barangay 101,1400
Metro Manila,NCR,Caloocan City,Barangay 102,1400
Metro Manila,NCR,Caloocan City,Barangay 103,1400
Metro Manila,NCR,Caloocan City,Barangay 104,1400
Metro Manila,NCR,Caloocan City,Barangay 105,1400
Metro Manila,NCR,Caloocan City,Barangay 106,1400
Metro Manila,NCR,Caloocan City,Barangay 107,1400
Metro Manila,NCR,Caloocan City,Barangay 108,1400
Metro Manila,NCR,Caloocan City,Barangay 109,1400
Metro Manila,NCR,Caloocan City,Barangay 11,1400
Metro Manila,NCR,Caloocan City,Barangay 110,1400
Metro Manila,NCR,Caloocan City,Barangay 111,1400
Metro Manila,NCR,Caloocan City,Barangay 112,1400
Metro Manila,NCR,Caloocan City,Barangay 113,1400
Metro Manila,NCR,Caloocan City,Barangay 114,1400
Metro Manila,NCR,Caloocan City,Barangay 115,1400
Metro Manila,NCR,Caloocan City,Barangay 116,1400
Metro Manila,NCR,Caloocan City,Barangay 117,1400
Metro Manila,NCR,Caloocan City,Barangay 118,1400
Metro Manila,NCR,Caloocan City,Barangay 119,1400
Metro Manila,NCR,Caloocan City,Barangay 12,1400
Metro Manila,NCR,Caloocan City,Barangay 120,1400
Metro Manila,NCR,Caloocan City,Barangay 121,1400
Metro Manila,NCR,Caloocan City,Barangay 122,1400
Metro Manila,NCR,Caloocan City,Barangay 123,1400
Metro Manila,NCR,Caloocan City,Barangay 124,1400
Metro Manila,NCR,Caloocan City,Barangay 125,1400
Metro Manila,NCR,Caloocan City,Barangay 126,1400
Metro Manila,NCR,Caloocan City,Barangay 127,1400
Metro Manila,NCR,Caloocan City,Barangay 128,1400
Metro Manila,NCR,Caloocan City,Barangay 129,1400
Metro Manila,NCR,Caloocan City,Barangay 13,1400
Metro Manila,NCR,Caloocan City,Barangay 130,1400
Metro Manila,NCR,Caloocan City,Barangay 131,1400
Metro Manila,NCR,Caloocan City,Barangay 132,1400
Metro Manila,NCR,Caloocan City,Barangay 133,1400
Metro Manila,NCR,Caloocan City,Barangay 134,1400
Metro Manila,NCR,Caloocan City,Barangay 135,1400
Metro Manila,NCR,Caloocan City,Barangay 136,1400
Metro Manila,NCR,Caloocan City,Barangay 137,1400
Metro Manila,NCR,Caloocan City,Barangay 138,1400
Metro Manila,NCR,Caloocan City,Barangay 139,1400
